Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Act,Full,PP,Pro,My,Opp +/-,Bargain,B2B,Rest,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,G,A,Pts,TOI,Pts/60,S,S Att,Eff S%,S %,BLK,S+Blk,CorsiFor,C Agst,Fnk For,PP G,PP A,PP TOI,PP S,PP SA,PP Eff S%,SH G,SH A,ES G,ES A,PIM,EN G,S Pred,G_2,A_2,Pts_2,TOI_2,Pts/60_2,S_2,S Att_2,Eff S%_2,S %_2,Blk_2,S+Blk_2,Corsi For_2,Corsi Against_2,PP G_2,PP A_2,PP TOI_2,PP S_2,Corsi For_3,S+Blk_3,S_3,Blk_3,S Att_3,PP S Att_2,TOI_3,PP TOI_3,PP G_3,PP A_3,S Att Pred_2,SA,Opp SA Ag,SA Ag,Opp SA,PPs,PP%,Opp PKs,Opp PK%,Opp SA_2,Opp SA A,SA Ag_2,Opp SA_3,PPs_2,PP%_2,Opp PKs_2,Opp PK%_2,Opp SA_4
37.44,William Nylander,$6200,W,,,TOR,MTL - J Allen,7.58,9.6,5.6,-3.13,1.2,20.3,2F,1,3,0,-0.1,22%,1H,,3.6,2.5,-198,6,69,-175,9.9,1,46%,13%,33%,66,,0%,0%,0%,4,0.38,0.48,0.86,16.81,3.07,2.66,2.77,0.96,0.14,0.31,2.97,12.58,11.35,9.39,0.07,0.12,2.56,0.6,0.6,1,0,0,0.31,0.36,0.34,0,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
37.40,Nick Ritchie,$3900,W,,,TOR,MTL - J Allen,5.14,6.6,3.7,-1.22,1.3,1.3,1F,2,3,0,-1.1,6%,1H,,3.6,2.5,-198,6,69,-175,7,0.3,39%,18%,32%,64,,0%,0%,0%,4,0.24,0.21,0.45,14.82,1.82,2.06,2,1.03,0.12,0.28,2.34,11.65,10.57,9.14,0.09,0.06,2.39,0.45,0.45,1,0,0,0.15,0.15,0.7,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
37.18,Anthony Mantha,$4800,W,,,WAS,NYR - I Shesterkin,6.72,8.5,4.9,-1.34,1.4,8,2F,1,4,0,0.7,98%,,,3,3,-105,6,40,-109,8,0,37%,10%,28%,64,,0%,0%,0%,5,0.25,0.27,0.52,18.06,1.73,2.53,2.5,1.01,0.1,0.47,3,12.71,12.07,9.59,0.05,0.03,2.42,0.64,0.64,1,0,0,0.2,0.23,0.52,0,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
36.62,Artemi Panarin,$7100,W,,,NYR,@WAS - V Vanecek,9.95,12.5,7.4,-2.46,1.4,0,2F,1,3,0,0,93%,1A,,3,3,-105,6,60,-101,10.8,0.1,32%,12%,41%,58,,0%,0%,0%,4,0.4,0.98,1.38,19.64,4.21,2.52,2.45,1.03,0.16,0.17,2.69,12.8,12.68,9.8,0.12,0.29,3.71,0.91,0.91,1,0,0,0.29,0.69,0.14,0.02,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
34.92,Michael Bunting,$4700,W,,,TOR,MTL - J Allen,4.43,5.7,3.2,-3.44,0.9,5,2F,2,3,0,-1.2,4%,1H,,3.6,2.5,-198,6,69,-175,8,0.3,17%,8%,19%,57,,0%,0%,0%,4,0.48,0.14,0.62,16.69,2.23,1.81,1.81,1,0.26,0.05,1.86,13.86,10.86,10.38,0.14,0,1.86,0.24,0.24,1,0,0,0.33,0.14,0.57,0,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.33,44.45,39.35,42.32,48.92,2.77,0.26,2.64,0.26,,,,,,,,,
33.98,Blake Wheeler,$6000,W,,,WPG,@ANA - J Gibson,8.09,10.2,6,-2.24,1.3,8,1F,1,3,0,0.3,19%,,,3,2.6,-140,5.5,75,-130,9.4,0.3,40%,11%,40%,67,,0%,0%,0%,4,0.29,0.59,0.88,18.9,2.79,2.41,2.46,0.98,0.12,0.62,3.03,12.82,14.73,9.86,0.07,0.21,2.63,0.29,0.29,1,0,0,0.22,0.38,0.86,0.03,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.71,40.66,43.9,45.64,43.26,2.73,0.33,2.85,0.3,,,,,,,,,
32.79,Alex Debrincat,$6800,W,,,CHI,@COL - D Kuemper,8.5,10.8,6.2,-3.34,1.3,7.1,1F,1,3,0,-0.1,71%,,,2.6,3.5,162,6,52,169,13.4,0.9,40%,11%,22%,59,,0%,0%,0%,5,0.62,0.46,1.08,20.54,3.16,2.98,2.98,1,0.21,0.42,3.4,12.75,15.22,9.24,0.17,0.17,3.8,0.69,0.69,1,0.02,0,0.42,0.29,0.23,0.04,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08,39.6,37.71,47.98,51.76,3.2,0.27,3,0.24,,,,,,,,,
32.54,Tom Wilson,$4700,W,,,WAS,NYR - I Shesterkin,6.24,7.9,4.6,-1.63,1.3,2.6,1F,2,3,0,-0.9,95%,,,3,3,-105,6,40,-109,6.2,-0.2,33%,9%,40%,62,,0%,0%,0%,5,0.26,0.4,0.66,16.78,2.36,1.75,1.84,0.95,0.15,0.57,2.32,11.1,11.47,8.39,0.08,0.08,1.86,0.26,0.26,1,0.02,0,0.17,0.32,1.92,0.04,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.87,42.74,44.15,40.69,37.61,2.79,0.33,2.79,0.26,,,,,,,,,
31.39,Dominik Kubalik,$5500,W,,,CHI,@COL - D Kuemper,6.5,8.2,4.8,-2.89,1.2,14.5,2F,2,4,0,1.4,19%,,,2.6,3.5,162,6,52,169,9.6,1,40%,16%,30%,59,,0%,0%,0%,5,0.3,0.38,0.68,15.52,2.63,2.79,2.71,1.03,0.11,0.3,3.09,10.35,12.07,7.55,0.07,0.18,2.57,0.58,0.58,1,0,0,0.23,0.2,0.32,0,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.08,39.6,37.71,47.98,51.76,3.2,0.27,3,0.24,,,,,,,,,
30.02,Kaapo Kakko,$3300,W,,,NYR,@WAS - V Vanecek,4.7,6,3.4,-0.53,1.4,10.5,2F,2,4,0,-0.1,95%,1A,,3,3,-105,6,60,-101,5,0.9,39%,15%,31%,58,,0%,0%,0%,4,0.19,0.17,0.35,14.35,1.46,1.69,1.69,1,0.11,0.33,2.02,11.62,9.68,9.04,0.04,0.02,1.33,0.15,0.15,1,0,0,0.15,0.15,0.21,0.02,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.58,37.61,40.69,44.15,42.74,3.17,0.28,2.76,0.27,,,,,,,,,
