Rating,Player,Salary,Pos,Min,Max,Team,Opp,Proj,Ceiling,Floor,Proj +/-,Pts/Sal,Full,Pro,My,Opp +/-,Bargain,B2B,Pts,Opp Pts,ML,O/U,ML %,Open ...,PPG,+/-,Consistency,Upside,Duds,Count,PPG_2,Consistency_2,Duds_2,Upside_2,Count_2,Sv Pred,SV,G,S,Wins,Loss,Min,SO,SV_2,GA,Wins_2,Opp S Att Pred,Opp G,Opp S,SA Ag,Opp SA,PKs,PK%,Opp PPs,Opp PP%,Opp G_2,Opp S_2,SA Ag_2,Opp SA_2,PKs_2,PK%_2,Opp PPs_2,Opp PP%_2,Opp G_2,Opp S_2,Opp SA_2,date
42.25,Jake Oettinger,$7800,G,,,DAL,@WPG - C Hellebuyck,12.13,15.3,8.9,12.13,1.6,1G,0,0,-2.9,50%,,2.8,2.8,-113,5.5,11,-110,12.9,-0.8,55%,30%,17%,98,,0%,0%,0%,1,27.72,25.2,2.57,27.8,0.59,0.34,57.99,0.03,,,,,48.96,3.26,28.2,49.08,47.98,2.86,0.02,2.78,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
39.45,Filip Gustavsson,$7400,G,,,MIN,@STL - J Binnington,9.79,12.5,7.1,9.79,1.3,1G,1,0,-7.2,95%,,2.7,2.9,105,5.5,34,-110,13.8,0.2,55%,32%,14%,89,,0%,0%,0%,1,26.16,26.8,2.53,29.31,0.52,0.34,58.64,0.08,,,,,48.69,3.11,26.41,51.6,44.93,2.47,0.04,2.49,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
37.57,Scott Wedgewood,$8300,G,,,COL,UTA - K Vejmelka,10.31,13.1,7.5,10.31,1.2,1G,8,0,-1.4,12%,,3.8,2.9,-185,6.5,94,-162,12.1,-0.5,17%,6%,5%,89,19.3,33%,0%,33%,3,25.25,21.4,2.08,23.5,0.58,0.23,55.38,0.08,24,1,1,1,49.26,2.9,28.51,44.17,50.94,2.6,0.01,2.9,0.04,,,48,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
37.24,A. Vasilevskiy,$8200,G,,,TB,OTT - L Ullmark,11.71,14.8,8.6,11.71,1.4,1G,2,0,-2.4,34%,,3.8,2.9,-180,6.5,97,-162,14.2,0.3,61%,34%,14%,88,,0%,0%,0%,2,27.18,24.8,2.24,27.07,0.57,0.35,59.07,0.09,,,,,46.87,2.93,28.94,46.02,46.86,2.61,0.03,3.17,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
31.67,Devin Cooley,$6900,G,,,CGY,@VAN - T Demko,7.06,9.1,5,7.06,1,1G,1,0,-2.4,97%,,2.3,3.3,172,5.5,29,164,,,0%,0%,0%,5,,0%,0%,0%,3,,,,,,,,,,,,,45.74,2.84,25.52,47.81,44.69,2.77,0.03,2.75,0.03,,,45,,4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
31.49,Daniel Vladar,$7100,G,,,PHI,@FLA - S Bobrovsky,9.26,11.9,6.6,9.26,1.3,1G,7,0,-0.1,34%,,2.3,3.4,184,5.5,6,200,11.6,-0.2,27%,11%,4%,86,,0%,0%,0%,2,31.48,24.2,2.77,27.03,0.4,0.37,59.07,0.07,,,,,52.67,3.21,30.84,48.54,51.87,2.49,0.04,2.93,0.03,3,37,,58,,,2,0,37,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
28.39,Jet Greaves,$7500,G,,,CLB,@NAS - J Saros,10.42,13.3,7.5,10.42,1.4,1G,0,0,-0.5,24%,,3.3,3.4,-105,6.5,90,120,18.5,3.1,42%,28%,4%,21,,0%,0%,0%,1,29.47,29,1.91,30.82,0.64,0.18,59.73,0.18,,,,,49.57,2.65,29.59,51.08,47.21,2.71,0.05,2.83,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
27.07,Arvid Soderblom,$7200,G,,,CHI,@BOS - J Korpisalo,8.51,10.9,6.1,8.51,1.2,1G,0,0,-2.5,12%,,2.5,3.1,135,5.5,21,124,11.5,-0.1,25%,14%,12%,81,,0%,0%,0%,3,27.6,27.1,3.06,30.14,0.29,0.46,57.54,0,,,,,51.94,2.7,26.41,51.6,43.48,2.76,0.06,2.78,0,3,21,58,49,2,0,2,0,21,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
25.98,Karel Vejmelka,$7100,G,,,UTA,@COL - S Wedgewood,7.98,10.3,5.7,7.98,1.1,1G,0,0,-1.1,68%,,2.9,3.8,150,6.5,6,136,10.8,-1.4,53%,18%,14%,82,,0%,0%,0%,1,23.01,23.5,2.5,25.97,0.45,0.38,57.69,0.02,,,,,44.66,3.34,30.16,45.1,52.08,3.03,0.03,2.88,0.03,4,23,,39,,,6,0.17,23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
24.58,John Gibson,$8100,G,,,DET,MTL - J Dobes,8.53,10.9,6.1,8.53,1.1,1G,1,0,-3.3,3%,,3.5,3.1,-135,6.5,94,-130,11.9,0,23%,9%,8%,84,,0%,0%,0%,2,27.61,25.5,2.48,27.97,0.38,0.38,53.52,0,,,,,48.66,2.92,25.84,48.47,45.98,2.28,0.01,2.85,0.02,2,31,,49,,,2,0,31,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
24.58,Jakub Dobes,$7300,G,,,MTL,@DET - J Gibson,8.67,11.1,6.2,8.67,1.2,1G,0,0,-1.9,53%,,3.1,3.5,114,6.5,6,110,10.9,-0.4,23%,9%,7%,52,,0%,0%,0%,2,23.7,23.7,2.47,26.21,0.42,0.32,53.32,0.05,,,,,47.5,2.87,27.43,49.34,46.36,3.09,0.04,2.89,0.05,,,47,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
24.54,Linus Ullmark,$7200,G,,,OTT,@TB - A Vasilevskiy,8.08,10.4,5.8,8.08,1.1,1G,0,0,-2.3,89%,,2.9,3.8,150,6.5,3,136,12.5,-0.4,34%,23%,17%,90,,0%,0%,0%,2,26.59,25,2.6,27.62,0.54,0.36,56.6,0.1,,,,,47.46,3.49,28.17,46.89,47.18,2.78,0.04,2.9,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
24.49,Alex Nedeljkovic,$7000,G,,,SJ,VGK - A Schmid,8.35,10.7,6,8.35,1.2,1G,4,0,-0.5,34%,,2.7,3.9,177,6.5,11,154,11.1,-0.8,32%,12%,9%,77,,0%,0%,0%,3,34.37,24.8,2.95,27.76,0.37,0.39,56.21,0.03,,,,,52.43,3.27,30.11,52.6,52.2,3.14,0.04,2.3,0.02,5,35,,51,,,6,0,35,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
23.83,Igor Shesterkin,$7800,G,,,NYR,@BUF - A Lyon,9.96,12.7,7.2,9.96,1.3,1G,1,0,-4.3,53%,,3.4,3.3,-115,6.5,82,-120,12.7,-0.7,50%,25%,20%,74,15.4,33%,0%,0%,3,29,25.9,2.71,28.6,0.44,0.47,56.85,0.1,27,1,0,0,50.53,3.29,27.86,49.53,46.37,2.86,0.04,2.81,0.03,,,56,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
20.86,Joey Daccord,$8000,G,,,SEA,ANA - L Dostal,9.78,12.5,7.1,9.78,1.2,1G,1,0,-4,1%,,3.5,3.2,-128,6.5,34,-115,12.4,-0.3,55%,27%,12%,83,,0%,0%,0%,1,26.05,25.4,2.65,28.05,0.47,0.4,57.47,0.04,,,,,49,2.65,27.7,50.64,46.51,2.35,0.02,2.74,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
20.58,Lukas Dostal,$7400,G,,,ANA,@SEA - J Daccord,9.5,12.2,6.8,9.5,1.3,1G,0,0,-4.1,53%,,3.2,3.5,107,6.5,66,-105,12.8,0.5,47%,20%,10%,84,,0%,0%,0%,2,29.26,27.2,2.93,30.09,0.43,0.43,56.2,0.02,,,,,50.81,3,27.26,53.68,47.09,3.01,0.04,2.81,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
18.08,Juuse Saros,$7900,G,,,NAS,CLB - J Greaves,10.05,12.8,7.3,10.05,1.3,1G,1,0,-4.6,3%,,3.4,3.3,-115,6.5,10,-142,9.8,-2.5,46%,22%,25%,84,,0%,0%,0%,1,27.42,24.5,2.88,27.41,0.34,0.53,57.47,0.07,,,,,47.9,3.26,29.07,46.08,48.87,2.99,0.02,2.22,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
16.88,Alex Lyon,$7600,G,,,BUF,NYR - I Shesterkin,9.06,11.6,6.5,9.06,1.2,1G,6,0,-4.2,8%,,3.3,3.4,-105,6.5,18,100,9.7,-0.9,21%,10%,11%,80,,0%,0%,0%,2,24.64,21.1,2.43,23.5,0.47,0.3,51.67,0.03,,,,,50.6,3.07,28.43,47.15,47.58,2.94,0.03,2.51,0.04,0,25,,56,,,2,0,25,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09
